"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"1","ILMN_1651499",1.03074693904142,6.82533557747475,8.42667790229343,1.08055827245e-12,4.21721354199825e-11,18.5061374451994,"MTMR12","myotubularin related protein 12"
"2","ILMN_1651499",1.03074693904142,6.82533557747475,8.42667790229343,1.08055827245e-12,4.21721354199825e-11,18.5061374451994,"RN7SL2","RNA component of signal recognition particle 7SL2"
"3","ILMN_1651499",1.03074693904142,6.82533557747475,8.42667790229343,1.08055827245e-12,4.21721354199825e-11,18.5061374451994,"BSN-DT","BSN divergent transcript"
"4","ILMN_1652533",1.19699958294996,7.20588781809367,11.0835628424689,6.60087207516757e-18,1.11727449060112e-15,30.3357748481817,"POM121L8P","POM121 transmembrane nucleoporin like 8, pseudogene"
"5","ILMN_1653871",-2.29915865983977,7.30400703857413,-15.6259389309015,3.6259688013537e-26,1.55666136977388e-22,49.0162086626484,"NAMPT","nicotinamide phosphoribosyltransferase"
"6","ILMN_1654875",-1.19508459892027,5.10086629593751,-14.9875934553813,4.50948093530271e-25,9.67980580403342e-22,46.5497632910682,"CLC","Charcot-Leyden crystal galectin"
"7","ILMN_1655702",-1.22729731828351,6.28784689007061,-13.7947821075697,5.75276067044836e-23,5.65975770627611e-20,41.795865217386,"ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
"8","ILMN_1656420",1.03569386192043,7.10064408926561,6.92647492314797,9.34546030117508e-10,1.81244360272153e-08,11.8588269724606,"CLUHP3","clustered mitochondria homolog pseudogene 3"
"9","ILMN_1656656",1.01164683648904,8.83067812750185,12.837155268021,3.2050624189602e-21,1.62748244809652e-18,37.8462486332554,"COX19","cytochrome c oxidase assembly factor COX19"
"10","ILMN_1657701",1.06496312653776,9.11681944558473,7.3644748760333,1.32320160735551e-10,3.08120674091501e-09,13.7775108973323,"RBM14","RNA binding motif protein 14"
"11","ILMN_1657892",-1.32350815475129,8.14636946190244,-7.11732286810839,3.99867884268128e-10,8.39260487407914e-09,12.691684412447,"TLR8","toll like receptor 8"
"12","ILMN_1659753",-1.20307576249033,6.72948912349573,-11.6078257146379,6.52331025967684e-19,1.5797784805281e-16,32.6153644448943,"LAMP2","lysosomal associated membrane protein 2"
"13","ILMN_1660723",1.04248612937537,6.53596050937869,12.5058941396137,1.32065449414818e-20,5.7217053056563e-18,36.4537117903772,"RDH13","retinol dehydrogenase 13"
"14","ILMN_1662524",-1.64296775426927,5.78905344797093,-10.8071213118219,2.25910118371364e-17,3.25255470425893e-15,29.1235672620237,"CXCR1","C-X-C motif chemokine receptor 1"
"15","ILMN_1665095",1.02933149037687,7.37185225420006,11.3419306854502,2.10303179030783e-18,4.18477815456474e-16,31.4625169924208,"NSMF","NMDA receptor synaptonuclear signaling and neuronal migration factor"
"16","ILMN_1665235",-1.09871329382755,7.71873858987846,-14.2651525897714,8.32149831826744e-24,1.15580716641724e-20,43.6928824251569,"CRTAP","cartilage associated protein"
